County,Year,Crime,Arrests,Age Group,Which,Year group,Rate
Chaffee,1992,Aggravated Assault,18,Adult,Violent,1992-1994,17.63
Chaffee,1992,Aggravated Assault,7,Juvenile,Violent,1992-1994,50.47
Chaffee,1992,Arson,0,Adult,Property,1992-1994,0
Chaffee,1992,Arson,15,Juvenile,Property,1992-1994,108.15
Chaffee,1992,Burglary,4,Adult,Property,1992-1994,3.92
Chaffee,1992,Burglary,7,Juvenile,Property,1992-1994,50.47
Chaffee,1992,Drug Violations,27,Adult,Drug,1992-1994,26.44
Chaffee,1992,Drug Violations,4,Juvenile,Drug,1992-1994,28.84
Chaffee,1992,Forcible rape,1,Adult,Violent,1992-1994,0.98
Chaffee,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Chaffee,1992,Larceny/Theft,43,Adult,Property,1992-1994,42.12
Chaffee,1992,Larceny/Theft,42,Juvenile,Property,1992-1994,302.81
Chaffee,1992,Motor Vehicle Theft,8,Adult,Property,1992-1994,7.84
Chaffee,1992,Motor Vehicle Theft,6,Juvenile,Property,1992-1994,43.26
Chaffee,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Chaffee,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Chaffee,1992,Robbery,0,Adult,Violent,1992-1994,0
Chaffee,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Cheyenne,1992,Aggravated Assault,2,Adult,Violent,1992-1994,12.01
Cheyenne,1992,Aggravated Assault,0,Juvenile,Violent,1992-1994,0
Cheyenne,1992,Arson,0,Adult,Property,1992-1994,0
Cheyenne,1992,Arson,0,Juvenile,Property,1992-1994,0
Cheyenne,1992,Burglary,0,Adult,Property,1992-1994,0
Cheyenne,1992,Burglary,0,Juvenile,Property,1992-1994,0
Cheyenne,1992,Drug Violations,0,Adult,Drug,1992-1994,0
Cheyenne,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Cheyenne,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Cheyenne,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Cheyenne,1992,Larceny/Theft,2,Adult,Property,1992-1994,12.01
Cheyenne,1992,Larceny/Theft,0,Juvenile,Property,1992-1994,0
Cheyenne,1992,Motor Vehicle Theft,0,Adult,Property,1992-1994,0
Cheyenne,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Cheyenne,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Cheyenne,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Cheyenne,1992,Robbery,0,Adult,Violent,1992-1994,0
Cheyenne,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Clear Creek,1992,Aggravated Assault,15,Adult,Violent,1992-1994,25.64
Clear Creek,1992,Aggravated Assault,1,Juvenile,Violent,1992-1994,11.6
Clear Creek,1992,Arson,1,Adult,Property,1992-1994,1.71
Clear Creek,1992,Arson,0,Juvenile,Property,1992-1994,0
Clear Creek,1992,Burglary,6,Adult,Property,1992-1994,10.25
Clear Creek,1992,Burglary,7,Juvenile,Property,1992-1994,81.21
Clear Creek,1992,Drug Violations,21,Adult,Drug,1992-1994,35.89
Clear Creek,1992,Drug Violations,1,Juvenile,Drug,1992-1994,11.6
Clear Creek,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Clear Creek,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Clear Creek,1992,Larceny/Theft,26,Adult,Property,1992-1994,44.44
Clear Creek,1992,Larceny/Theft,4,Juvenile,Property,1992-1994,46.4
Clear Creek,1992,Motor Vehicle Theft,1,Adult,Property,1992-1994,1.71
Clear Creek,1992,Motor Vehicle Theft,2,Juvenile,Property,1992-1994,23.2
Clear Creek,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Clear Creek,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Clear Creek,1992,Robbery,2,Adult,Violent,1992-1994,3.42
Clear Creek,1992,Robbery,1,Juvenile,Violent,1992-1994,11.6
Conejos,1992,Aggravated Assault,8,Adult,Violent,1992-1994,16.16
Conejos,1992,Aggravated Assault,0,Juvenile,Violent,1992-1994,0
Conejos,1992,Arson,0,Adult,Property,1992-1994,0
Conejos,1992,Arson,0,Juvenile,Property,1992-1994,0
Conejos,1992,Burglary,0,Adult,Property,1992-1994,0
Conejos,1992,Burglary,0,Juvenile,Property,1992-1994,0
Conejos,1992,Drug Violations,4,Adult,Drug,1992-1994,8.08
Conejos,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Conejos,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Conejos,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Conejos,1992,Larceny/Theft,4,Adult,Property,1992-1994,8.08
Conejos,1992,Larceny/Theft,0,Juvenile,Property,1992-1994,0
Conejos,1992,Motor Vehicle Theft,1,Adult,Property,1992-1994,2.02
Conejos,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Conejos,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Conejos,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Conejos,1992,Robbery,0,Adult,Violent,1992-1994,0
Conejos,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Costilla,1992,Aggravated Assault,4,Adult,Violent,1992-1994,17.3
Costilla,1992,Aggravated Assault,0,Juvenile,Violent,1992-1994,0
Costilla,1992,Arson,0,Adult,Property,1992-1994,0
Costilla,1992,Arson,2,Juvenile,Property,1992-1994,51.02
Costilla,1992,Burglary,1,Adult,Property,1992-1994,4.33
Costilla,1992,Burglary,0,Juvenile,Property,1992-1994,0
Costilla,1992,Drug Violations,3,Adult,Drug,1992-1994,12.98
Costilla,1992,Drug Violations,5,Juvenile,Drug,1992-1994,127.55
Costilla,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Costilla,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Costilla,1992,Larceny/Theft,0,Adult,Property,1992-1994,0
Costilla,1992,Larceny/Theft,2,Juvenile,Property,1992-1994,51.02
Costilla,1992,Motor Vehicle Theft,5,Adult,Property,1992-1994,21.63
Costilla,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Costilla,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Costilla,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Costilla,1992,Robbery,0,Adult,Violent,1992-1994,0
Costilla,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Crowley,1992,Aggravated Assault,5,Adult,Violent,1992-1994,15.21
Crowley,1992,Aggravated Assault,0,Juvenile,Violent,1992-1994,0
Crowley,1992,Arson,0,Adult,Property,1992-1994,0
Crowley,1992,Arson,0,Juvenile,Property,1992-1994,0
Crowley,1992,Burglary,0,Adult,Property,1992-1994,0
Crowley,1992,Burglary,0,Juvenile,Property,1992-1994,0
Crowley,1992,Drug Violations,2,Adult,Drug,1992-1994,6.08
